"|","|__TotalCellsVisisted","|__TimeOut","|__GameSpaceSearched","|__GameScore","|__GameID","|__EndGameTick"
"GameData_0_2","24","1","0","0","0","2000"
"GameData_0_3","24","1","0","0","0","2000"
"GameData_0_0","23","1","0","0","0","2000"
"GameData_0_1","24","1","0","0","0","2000"
