"|","|__TotalCellsVisisted","|__ControllerName","|__levelSize","|__GameSpaceSearched","|__GameScore","|__EndGameTick"
"GameData_5_8","160","controllers.singlePlayer.sampleOLMCTS.Agent","364500","39.900249376558605","1","1469"
"GameData_5_5","152","controllers.singlePlayer.sampleOLMCTS.Agent","364500","37.81094527363184","2","2000"
"GameData_5_6","154","controllers.singlePlayer.sampleOLMCTS.Agent","364500","38.403990024937656","24","2000"
"GameData_5_9","198","controllers.singlePlayer.sampleOLMCTS.Agent","364500","49.37655860349127","11","2000"
"GameData_0_4","22","controllers.singlePlayer.sampleOLMCTS.Agent","292500","19.298245614035086","0","2000"
"GameData_12_5","15","controllers.singlePlayer.sampleOLMCTS.Agent","435357","12.931034482758621","0","1000"
"GameData_0_5","22","controllers.singlePlayer.sampleOLMCTS.Agent","292500","19.298245614035086","0","2000"
"GameData_12_6","15","controllers.singlePlayer.sampleOLMCTS.Agent","435357","12.931034482758621","0","1000"
"GameData_0_2","21","controllers.singlePlayer.sampleOLMCTS.Agent","292500","18.421052631578945","0","2000"
"GameData_12_3","15","controllers.singlePlayer.sampleOLMCTS.Agent","435357","12.931034482758621","0","1000"
"GameData_0_3","22","controllers.singlePlayer.sampleOLMCTS.Agent","292500","19.298245614035086","0","2000"
"GameData_12_4","15","controllers.singlePlayer.sampleOLMCTS.Agent","435357","12.931034482758621","0","1000"
"GameData_0_8","23","controllers.singlePlayer.sampleOLMCTS.Agent","292500","20.175438596491226","0","2000"
"GameData_8_1","115","controllers.singlePlayer.sampleOLMCTS.Agent","330000","21.988527724665392","32","895"
"GameData_12_9","227","controllers.singlePlayer.sampleOLMCTS.Agent","435357","195.68965517241378","0","1000"
"GameData_8_0","69","controllers.singlePlayer.sampleOLMCTS.Agent","330000","13.193116634799235","31","766"
"GameData_0_9","78","controllers.singlePlayer.sampleOLMCTS.Agent","292500","68.42105263157895","0","2000"
"GameData_0_6","22","controllers.singlePlayer.sampleOLMCTS.Agent","292500","19.298245614035086","0","2000"
"GameData_12_7","15","controllers.singlePlayer.sampleOLMCTS.Agent","435357","12.931034482758621","0","1000"
"GameData_0_7","22","controllers.singlePlayer.sampleOLMCTS.Agent","292500","19.298245614035086","0","2000"
"GameData_12_8","16","controllers.singlePlayer.sampleOLMCTS.Agent","435357","13.793103448275861","0","1000"
"GameData_8_5","180","controllers.singlePlayer.sampleOLMCTS.Agent","330000","34.41682600382409","23","1524"
"GameData_8_4","177","controllers.singlePlayer.sampleOLMCTS.Agent","330000","33.84321223709369","25","2000"
"GameData_8_3","163","controllers.singlePlayer.sampleOLMCTS.Agent","330000","31.166347992351817","28","1422"
"GameData_8_2","124","controllers.singlePlayer.sampleOLMCTS.Agent","330000","23.709369024856596","35","552"
"GameData_8_9","135","controllers.singlePlayer.sampleOLMCTS.Agent","330000","25.812619502868067","20","649"
"GameData_12_1","13","controllers.singlePlayer.sampleOLMCTS.Agent","435357","11.206896551724139","0","1000"
"GameData_8_8","180","controllers.singlePlayer.sampleOLMCTS.Agent","330000","34.41682600382409","30","653"
"GameData_12_2","15","controllers.singlePlayer.sampleOLMCTS.Agent","435357","12.931034482758621","0","1000"
"GameData_8_7","180","controllers.singlePlayer.sampleOLMCTS.Agent","330000","34.41682600382409","1","501"
"GameData_8_6","180","controllers.singlePlayer.sampleOLMCTS.Agent","330000","34.41682600382409","35","582"
"GameData_12_0","13","controllers.singlePlayer.sampleOLMCTS.Agent","435357","11.206896551724139","0","1000"
"GameData_19_6","109","controllers.singlePlayer.sampleOLMCTS.Agent","368676","53.431372549019606","-1","555"
"GameData_19_7","111","controllers.singlePlayer.sampleOLMCTS.Agent","368676","54.41176470588235","-5","891"
"GameData_19_4","109","controllers.singlePlayer.sampleOLMCTS.Agent","368676","53.431372549019606","-1","665"
"GameData_19_5","109","controllers.singlePlayer.sampleOLMCTS.Agent","368676","53.431372549019606","-1","925"
"GameData_19_8","112","controllers.singlePlayer.sampleOLMCTS.Agent","368676","54.90196078431373","8","1000"
"GameData_19_9","473","controllers.singlePlayer.sampleOLMCTS.Agent","368676","231.86274509803923","-1","733"
"GameData_11_6","213","controllers.singlePlayer.sampleOLMCTS.Agent","241472","69.6078431372549","32","492"
"GameData_11_7","213","controllers.singlePlayer.sampleOLMCTS.Agent","241472","69.6078431372549","34","1082"
"GameData_11_4","212","controllers.singlePlayer.sampleOLMCTS.Agent","241472","69.28104575163398","32","462"
"GameData_11_5","212","controllers.singlePlayer.sampleOLMCTS.Agent","241472","69.28104575163398","34","467"
"GameData_7_2","59","controllers.singlePlayer.sampleOLMCTS.Agent","295191","16.954022988505745","-20","1000"
"GameData_19_2","108","controllers.singlePlayer.sampleOLMCTS.Agent","368676","52.94117647058824","3","1000"
"GameData_7_1","58","controllers.singlePlayer.sampleOLMCTS.Agent","295191","16.666666666666664","-20","1000"
"GameData_19_3","108","controllers.singlePlayer.sampleOLMCTS.Agent","368676","52.94117647058824","6","1000"
"GameData_7_0","39","controllers.singlePlayer.sampleOLMCTS.Agent","295191","11.206896551724139","-20","1000"
"GameData_11_8","213","controllers.singlePlayer.sampleOLMCTS.Agent","241472","69.6078431372549","32","836"
"GameData_19_0","98","controllers.singlePlayer.sampleOLMCTS.Agent","368676","48.03921568627451","2","1000"
"GameData_11_9","198","controllers.singlePlayer.sampleOLMCTS.Agent","241472","64.70588235294117","34","782"
"GameData_19_1","108","controllers.singlePlayer.sampleOLMCTS.Agent","368676","52.94117647058824","1","1000"
"GameData_7_6","75","controllers.singlePlayer.sampleOLMCTS.Agent","295191","21.551724137931032","-20","1000"
"GameData_7_5","71","controllers.singlePlayer.sampleOLMCTS.Agent","295191","20.402298850574713","-20","1000"
"GameData_7_4","65","controllers.singlePlayer.sampleOLMCTS.Agent","295191","18.67816091954023","-20","1000"
"GameData_7_3","60","controllers.singlePlayer.sampleOLMCTS.Agent","295191","17.24137931034483","-5","93"
"GameData_11_2","211","controllers.singlePlayer.sampleOLMCTS.Agent","241472","68.95424836601308","32","472"
"GameData_7_9","149","controllers.singlePlayer.sampleOLMCTS.Agent","295191","42.81609195402299","-20","1000"
"GameData_11_3","212","controllers.singlePlayer.sampleOLMCTS.Agent","241472","69.28104575163398","24","503"
"GameData_7_8","78","controllers.singlePlayer.sampleOLMCTS.Agent","295191","22.413793103448278","-20","1000"
"GameData_11_0","146","controllers.singlePlayer.sampleOLMCTS.Agent","241472","47.712418300653596","30","704"
"GameData_7_7","78","controllers.singlePlayer.sampleOLMCTS.Agent","295191","22.413793103448278","-15","1000"
"GameData_11_1","204","controllers.singlePlayer.sampleOLMCTS.Agent","241472","66.66666666666666","34","1251"
