game,TotalCellsVisisted,ControllerName,levelSize,GameSpaceSearched,GameScore,Win,EndGameTick
0,116,controllers.singlePlayer.sampleRandom.Agent,287496,43.93939393939394,0,0,1397
1,135,controllers.singlePlayer.sampleRandom.Agent,287496,51.13636363636363,1,0,1998
2,135,controllers.singlePlayer.sampleRandom.Agent,287496,51.13636363636363,1,0,1194
3,135,controllers.singlePlayer.sampleRandom.Agent,287496,51.13636363636363,0,0,1550
4,135,controllers.singlePlayer.sampleRandom.Agent,287496,51.13636363636363,0,0,902
5,135,controllers.singlePlayer.sampleRandom.Agent,287496,51.13636363636363,3,0,1416
6,135,controllers.singlePlayer.sampleRandom.Agent,287496,51.13636363636363,4,0,1779
7,135,controllers.singlePlayer.sampleRandom.Agent,287496,51.13636363636363,0,0,1
8,135,controllers.singlePlayer.sampleRandom.Agent,287496,51.13636363636363,0,0,1
9,135,controllers.singlePlayer.sampleRandom.Agent,287496,51.13636363636363,1,0,1375
10,135,controllers.singlePlayer.sampleRandom.Agent,287496,51.13636363636363,1,0,153
11,135,controllers.singlePlayer.sampleRandom.Agent,287496,51.13636363636363,0,0,459
12,135,controllers.singlePlayer.sampleRandom.Agent,287496,51.13636363636363,0,0,2000
13,135,controllers.singlePlayer.sampleRandom.Agent,287496,51.13636363636363,2,0,842
14,135,controllers.singlePlayer.sampleRandom.Agent,287496,51.13636363636363,0,0,1396
15,135,controllers.singlePlayer.sampleRandom.Agent,287496,51.13636363636363,1,0,924
16,135,controllers.singlePlayer.sampleRandom.Agent,287496,51.13636363636363,1,0,2000
17,135,controllers.singlePlayer.sampleRandom.Agent,287496,51.13636363636363,1,0,358
18,135,controllers.singlePlayer.sampleRandom.Agent,287496,51.13636363636363,2,0,565
19,135,controllers.singlePlayer.sampleRandom.Agent,287496,51.13636363636363,0,0,289
20,135,controllers.singlePlayer.sampleRandom.Agent,287496,51.13636363636363,0,0,191
21,135,controllers.singlePlayer.sampleRandom.Agent,287496,51.13636363636363,0,0,232
22,135,controllers.singlePlayer.sampleRandom.Agent,287496,51.13636363636363,2,0,1885
23,135,controllers.singlePlayer.sampleRandom.Agent,287496,51.13636363636363,0,0,2000
24,135,controllers.singlePlayer.sampleRandom.Agent,287496,51.13636363636363,3,0,1846
25,135,controllers.singlePlayer.sampleRandom.Agent,287496,51.13636363636363,0,0,110
26,135,controllers.singlePlayer.sampleRandom.Agent,287496,51.13636363636363,1,0,1043
27,135,controllers.singlePlayer.sampleRandom.Agent,287496,51.13636363636363,0,0,1392
28,135,controllers.singlePlayer.sampleRandom.Agent,287496,51.13636363636363,0,0,458
29,135,controllers.singlePlayer.sampleRandom.Agent,287496,51.13636363636363,1,0,2000
30,135,controllers.singlePlayer.sampleRandom.Agent,287496,51.13636363636363,0,0,429
31,135,controllers.singlePlayer.sampleRandom.Agent,287496,51.13636363636363,0,0,667
32,135,controllers.singlePlayer.sampleRandom.Agent,287496,51.13636363636363,0,0,1856
33,135,controllers.singlePlayer.sampleRandom.Agent,287496,51.13636363636363,0,0,1940
34,135,controllers.singlePlayer.sampleRandom.Agent,287496,51.13636363636363,0,0,977
35,135,controllers.singlePlayer.sampleRandom.Agent,287496,51.13636363636363,1,0,421
36,135,controllers.singlePlayer.sampleRandom.Agent,287496,51.13636363636363,0,0,333
37,135,controllers.singlePlayer.sampleRandom.Agent,287496,51.13636363636363,0,0,2000
38,135,controllers.singlePlayer.sampleRandom.Agent,287496,51.13636363636363,1,0,687
39,135,controllers.singlePlayer.sampleRandom.Agent,287496,51.13636363636363,0,0,972
40,135,controllers.singlePlayer.sampleRandom.Agent,287496,51.13636363636363,0,0,392
41,135,controllers.singlePlayer.sampleRandom.Agent,287496,51.13636363636363,0,0,293
42,135,controllers.singlePlayer.sampleRandom.Agent,287496,51.13636363636363,0,0,352
43,135,controllers.singlePlayer.sampleRandom.Agent,287496,51.13636363636363,0,0,2000
44,135,controllers.singlePlayer.sampleRandom.Agent,287496,51.13636363636363,0,0,2000
45,135,controllers.singlePlayer.sampleRandom.Agent,287496,51.13636363636363,2,0,2000
46,135,controllers.singlePlayer.sampleRandom.Agent,287496,51.13636363636363,1,0,619
47,135,controllers.singlePlayer.sampleRandom.Agent,287496,51.13636363636363,0,0,1404
48,135,controllers.singlePlayer.sampleRandom.Agent,287496,51.13636363636363,0,0,137
49,135,controllers.singlePlayer.sampleRandom.Agent,287496,51.13636363636363,0,0,1669
50,135,controllers.singlePlayer.sampleRandom.Agent,287496,51.13636363636363,0,0,745
51,135,controllers.singlePlayer.sampleRandom.Agent,287496,51.13636363636363,0,0,1567
52,135,controllers.singlePlayer.sampleRandom.Agent,287496,51.13636363636363,1,0,1652
53,135,controllers.singlePlayer.sampleRandom.Agent,287496,51.13636363636363,0,0,2000
54,135,controllers.singlePlayer.sampleRandom.Agent,287496,51.13636363636363,2,0,1962
55,135,controllers.singlePlayer.sampleRandom.Agent,287496,51.13636363636363,1,0,976
56,135,controllers.singlePlayer.sampleRandom.Agent,287496,51.13636363636363,0,0,2000
57,135,controllers.singlePlayer.sampleRandom.Agent,287496,51.13636363636363,1,0,1287
58,135,controllers.singlePlayer.sampleRandom.Agent,287496,51.13636363636363,0,0,2000
59,135,controllers.singlePlayer.sampleRandom.Agent,287496,51.13636363636363,2,0,2000
60,135,controllers.singlePlayer.sampleRandom.Agent,287496,51.13636363636363,1,0,783
61,135,controllers.singlePlayer.sampleRandom.Agent,287496,51.13636363636363,2,0,1171
62,135,controllers.singlePlayer.sampleRandom.Agent,287496,51.13636363636363,0,0,1249
63,135,controllers.singlePlayer.sampleRandom.Agent,287496,51.13636363636363,0,0,1455
64,135,controllers.singlePlayer.sampleRandom.Agent,287496,51.13636363636363,1,0,2000
65,135,controllers.singlePlayer.sampleRandom.Agent,287496,51.13636363636363,0,0,491
66,135,controllers.singlePlayer.sampleRandom.Agent,287496,51.13636363636363,1,0,2000
67,135,controllers.singlePlayer.sampleRandom.Agent,287496,51.13636363636363,0,0,2000
68,135,controllers.singlePlayer.sampleRandom.Agent,287496,51.13636363636363,0,0,2000
69,135,controllers.singlePlayer.sampleRandom.Agent,287496,51.13636363636363,0,0,2000
70,135,controllers.singlePlayer.sampleRandom.Agent,287496,51.13636363636363,2,0,1425
71,135,controllers.singlePlayer.sampleRandom.Agent,287496,51.13636363636363,0,0,786
72,135,controllers.singlePlayer.sampleRandom.Agent,287496,51.13636363636363,0,0,331
73,135,controllers.singlePlayer.sampleRandom.Agent,287496,51.13636363636363,0,0,95
74,135,controllers.singlePlayer.sampleRandom.Agent,287496,51.13636363636363,0,0,467
75,135,controllers.singlePlayer.sampleRandom.Agent,287496,51.13636363636363,1,0,1788
76,135,controllers.singlePlayer.sampleRandom.Agent,287496,51.13636363636363,1,0,2000
77,135,controllers.singlePlayer.sampleRandom.Agent,287496,51.13636363636363,0,0,475
78,135,controllers.singlePlayer.sampleRandom.Agent,287496,51.13636363636363,0,0,1056
79,135,controllers.singlePlayer.sampleRandom.Agent,287496,51.13636363636363,1,0,602
80,135,controllers.singlePlayer.sampleRandom.Agent,287496,51.13636363636363,0,0,627
81,135,controllers.singlePlayer.sampleRandom.Agent,287496,51.13636363636363,1,0,2000
82,135,controllers.singlePlayer.sampleRandom.Agent,287496,51.13636363636363,1,0,1393
83,135,controllers.singlePlayer.sampleRandom.Agent,287496,51.13636363636363,1,0,786
84,135,controllers.singlePlayer.sampleRandom.Agent,287496,51.13636363636363,0,0,1393
85,135,controllers.singlePlayer.sampleRandom.Agent,287496,51.13636363636363,0,0,38
86,135,controllers.singlePlayer.sampleRandom.Agent,287496,51.13636363636363,1,0,1164
87,135,controllers.singlePlayer.sampleRandom.Agent,287496,51.13636363636363,0,0,2000
88,135,controllers.singlePlayer.sampleRandom.Agent,287496,51.13636363636363,1,0,2000
89,135,controllers.singlePlayer.sampleRandom.Agent,287496,51.13636363636363,1,0,2000
90,135,controllers.singlePlayer.sampleRandom.Agent,287496,51.13636363636363,1,0,1867
91,135,controllers.singlePlayer.sampleRandom.Agent,287496,51.13636363636363,0,0,2000
92,135,controllers.singlePlayer.sampleRandom.Agent,287496,51.13636363636363,0,0,455
93,135,controllers.singlePlayer.sampleRandom.Agent,287496,51.13636363636363,0,0,2000
94,135,controllers.singlePlayer.sampleRandom.Agent,287496,51.13636363636363,0,0,1338
95,135,controllers.singlePlayer.sampleRandom.Agent,287496,51.13636363636363,0,0,890
96,135,controllers.singlePlayer.sampleRandom.Agent,287496,51.13636363636363,0,0,862
97,135,controllers.singlePlayer.sampleRandom.Agent,287496,51.13636363636363,0,0,143
98,135,controllers.singlePlayer.sampleRandom.Agent,287496,51.13636363636363,0,0,524
99,135,controllers.singlePlayer.sampleRandom.Agent,287496,51.13636363636363,1,0,1532
