"|","|__TotalCellsVisisted","|__ControllerName","|__levelSize","|__GameSpaceSearched","|__GameScore","|__Win","|__EndGameTick"
"GameData_0_28","10","controllers.singlePlayer.breadthFirstSearch.Agent","330000","1.893939393939394","11","0","430"
"GameData_0_29","12","controllers.singlePlayer.breadthFirstSearch.Agent","330000","2.272727272727273","1","0","424"
"GameData_0_22","10","controllers.singlePlayer.breadthFirstSearch.Agent","330000","1.893939393939394","3","0","395"
"GameData_0_23","10","controllers.singlePlayer.breadthFirstSearch.Agent","330000","1.893939393939394","9","0","436"
"GameData_0_20","9","controllers.singlePlayer.breadthFirstSearch.Agent","330000","1.7045454545454544","15","0","614"
"GameData_0_21","9","controllers.singlePlayer.breadthFirstSearch.Agent","330000","1.7045454545454544","11","0","452"
"GameData_0_26","10","controllers.singlePlayer.breadthFirstSearch.Agent","330000","1.893939393939394","5","0","388"
"GameData_0_27","10","controllers.singlePlayer.breadthFirstSearch.Agent","330000","1.893939393939394","13","0","483"
"GameData_0_24","10","controllers.singlePlayer.breadthFirstSearch.Agent","330000","1.893939393939394","-3","0","436"
"GameData_0_25","10","controllers.singlePlayer.breadthFirstSearch.Agent","330000","1.893939393939394","7","0","447"
"GameData_0_4","3","controllers.singlePlayer.breadthFirstSearch.Agent","330000","0.5681818181818182","7","0","450"
"GameData_0_19","8","controllers.singlePlayer.breadthFirstSearch.Agent","330000","1.5151515151515151","7","0","525"
"GameData_0_5","3","controllers.singlePlayer.breadthFirstSearch.Agent","330000","0.5681818181818182","30","100","649"
"GameData_0_2","3","controllers.singlePlayer.breadthFirstSearch.Agent","330000","0.5681818181818182","1","0","480"
"GameData_0_17","8","controllers.singlePlayer.breadthFirstSearch.Agent","330000","1.5151515151515151","7","0","481"
"GameData_0_3","3","controllers.singlePlayer.breadthFirstSearch.Agent","330000","0.5681818181818182","11","0","390"
"GameData_0_18","8","controllers.singlePlayer.breadthFirstSearch.Agent","330000","1.5151515151515151","7","0","461"
"GameData_0_8","4","controllers.singlePlayer.breadthFirstSearch.Agent","330000","0.7575757575757576","7","0","432"
"GameData_0_9","4","controllers.singlePlayer.breadthFirstSearch.Agent","330000","0.7575757575757576","1","0","457"
"GameData_0_6","3","controllers.singlePlayer.breadthFirstSearch.Agent","330000","0.5681818181818182","9","0","497"
"GameData_0_7","4","controllers.singlePlayer.breadthFirstSearch.Agent","330000","0.7575757575757576","9","0","526"
"GameData_0_11","6","controllers.singlePlayer.breadthFirstSearch.Agent","330000","1.1363636363636365","-5","0","474"
"GameData_0_12","7","controllers.singlePlayer.breadthFirstSearch.Agent","330000","1.3257575757575757","5","0","561"
"GameData_0_10","6","controllers.singlePlayer.breadthFirstSearch.Agent","330000","1.1363636363636365","12","0","2000"
"GameData_0_15","8","controllers.singlePlayer.breadthFirstSearch.Agent","330000","1.5151515151515151","9","0","605"
"GameData_0_16","8","controllers.singlePlayer.breadthFirstSearch.Agent","330000","1.5151515151515151","15","0","595"
"GameData_0_13","8","controllers.singlePlayer.breadthFirstSearch.Agent","330000","1.5151515151515151","1","0","447"
"GameData_0_14","8","controllers.singlePlayer.breadthFirstSearch.Agent","330000","1.5151515151515151","1","0","550"
"GameData_0_40","16","controllers.singlePlayer.breadthFirstSearch.Agent","315000","3.1746031746031744","-12","0","296"
"GameData_0_41","18","controllers.singlePlayer.breadthFirstSearch.Agent","315000","3.571428571428571","18","0","424"
"GameData_0_0","1","controllers.singlePlayer.breadthFirstSearch.Agent","330000","0.1893939393939394","7","0","492"
"GameData_0_1","1","controllers.singlePlayer.breadthFirstSearch.Agent","330000","0.1893939393939394","7","0","496"
"GameData_0_44","20","controllers.singlePlayer.breadthFirstSearch.Agent","315000","3.968253968253968","6","0","356"
"GameData_0_45","20","controllers.singlePlayer.breadthFirstSearch.Agent","315000","3.968253968253968","6","0","472"
"GameData_0_42","18","controllers.singlePlayer.breadthFirstSearch.Agent","315000","3.571428571428571","0","0","365"
"GameData_0_43","20","controllers.singlePlayer.breadthFirstSearch.Agent","315000","3.968253968253968","-4","0","335"
"GameData_0_48","20","controllers.singlePlayer.breadthFirstSearch.Agent","315000","3.968253968253968","22","0","596"
"GameData_0_49","20","controllers.singlePlayer.breadthFirstSearch.Agent","315000","3.968253968253968","40","0","557"
"GameData_0_46","20","controllers.singlePlayer.breadthFirstSearch.Agent","315000","3.968253968253968","20","0","388"
"GameData_0_47","20","controllers.singlePlayer.breadthFirstSearch.Agent","315000","3.968253968253968","28","0","543"
"GameData_0_30","13","controllers.singlePlayer.breadthFirstSearch.Agent","330000","2.462121212121212","1","0","363"
"GameData_0_39","15","controllers.singlePlayer.breadthFirstSearch.Agent","330000","2.840909090909091","-13","0","319"
"GameData_0_33","15","controllers.singlePlayer.breadthFirstSearch.Agent","330000","2.840909090909091","29","0","639"
"GameData_0_34","15","controllers.singlePlayer.breadthFirstSearch.Agent","330000","2.840909090909091","9","0","454"
"GameData_0_31","15","controllers.singlePlayer.breadthFirstSearch.Agent","330000","2.840909090909091","-19","0","422"
"GameData_0_32","15","controllers.singlePlayer.breadthFirstSearch.Agent","330000","2.840909090909091","3","0","391"
"GameData_0_37","15","controllers.singlePlayer.breadthFirstSearch.Agent","330000","2.840909090909091","1","0","480"
"GameData_0_38","15","controllers.singlePlayer.breadthFirstSearch.Agent","330000","2.840909090909091","25","0","523"
"GameData_0_35","15","controllers.singlePlayer.breadthFirstSearch.Agent","330000","2.840909090909091","5","0","642"
"GameData_0_36","15","controllers.singlePlayer.breadthFirstSearch.Agent","330000","2.840909090909091","5","0","514"
