"|","|__TotalCellsVisisted","|__ControllerName","|__levelSize","|__GameSpaceSearched","|__GameScore","|__Win","|__EndGameTick"
"GameData_0_2","438","controllers.singlePlayer.sampleMCTS.Agent","456192","497.72727272727275","0","0","1500"
"GameData_0_3","495","controllers.singlePlayer.sampleMCTS.Agent","456192","562.5","0","0","1500"
"GameData_0_0","260","controllers.singlePlayer.sampleMCTS.Agent","456192","295.45454545454544","1","100","1474"
"GameData_0_1","388","controllers.singlePlayer.sampleMCTS.Agent","456192","440.90909090909093","1","100","721"
