"|","|__TotalCellsVisisted","|__ControllerName","|__levelSize","|__GameSpaceSearched","|__GameScore","|__Win","|__EndGameTick"
"GameData_0_2","94","controllers.singlePlayer.sampleMCTS.Agent","241472","30.519480519480517","6","100","323"
"GameData_0_3","95","controllers.singlePlayer.sampleMCTS.Agent","241472","30.844155844155846","6","100","230"
"GameData_0_0","56","controllers.singlePlayer.sampleMCTS.Agent","241472","18.181818181818183","8","100","1494"
"GameData_0_1","90","controllers.singlePlayer.sampleMCTS.Agent","241472","29.22077922077922","9","100","1068"
