"|","|__TotalCellsVisisted","|__ControllerName","|__levelSize","|__GameSpaceSearched","|__GameScore","|__Win","|__EndGameTick"
"GameData_0_2","125","controllers.singlePlayer.sampleMCTS.Agent","333564","54.112554112554115","-9","0","2000"
"GameData_0_3","146","controllers.singlePlayer.sampleMCTS.Agent","333564","63.20346320346321","-21","0","2000"
"GameData_0_0","73","controllers.singlePlayer.sampleMCTS.Agent","333564","31.601731601731604","-23","0","2000"
"GameData_0_1","118","controllers.singlePlayer.sampleMCTS.Agent","333564","51.082251082251084","-20","0","2000"
