"|","|__TotalCellsVisisted","|__ControllerName","|__levelSize","|__GameSpaceSearched","|__GameScore","|__Win","|__EndGameTick"
"GameData_0_28","9","controllers.singlePlayer.breadthFirstSearch.Agent","241472","2.922077922077922","2","100","937"
"GameData_0_29","9","controllers.singlePlayer.breadthFirstSearch.Agent","241472","2.922077922077922","8","0","2000"
"GameData_0_22","9","controllers.singlePlayer.breadthFirstSearch.Agent","241472","2.922077922077922","6","100","1562"
"GameData_0_23","9","controllers.singlePlayer.breadthFirstSearch.Agent","241472","2.922077922077922","12","100","1855"
"GameData_0_20","7","controllers.singlePlayer.breadthFirstSearch.Agent","241472","2.272727272727273","2","0","2000"
"GameData_0_21","9","controllers.singlePlayer.breadthFirstSearch.Agent","241472","2.922077922077922","6","0","2000"
"GameData_0_26","9","controllers.singlePlayer.breadthFirstSearch.Agent","241472","2.922077922077922","0","100","806"
"GameData_0_27","9","controllers.singlePlayer.breadthFirstSearch.Agent","241472","2.922077922077922","2","100","1423"
"GameData_0_24","9","controllers.singlePlayer.breadthFirstSearch.Agent","241472","2.922077922077922","0","100","1504"
"GameData_0_25","9","controllers.singlePlayer.breadthFirstSearch.Agent","241472","2.922077922077922","2","100","1525"
"GameData_0_4","5","controllers.singlePlayer.breadthFirstSearch.Agent","241472","1.6233766233766231","6","100","388"
"GameData_0_19","6","controllers.singlePlayer.breadthFirstSearch.Agent","241472","1.948051948051948","0","100","1171"
"GameData_0_5","5","controllers.singlePlayer.breadthFirstSearch.Agent","241472","1.6233766233766231","4","100","1047"
"GameData_0_2","3","controllers.singlePlayer.breadthFirstSearch.Agent","241472","0.974025974025974","2","100","1140"
"GameData_0_17","6","controllers.singlePlayer.breadthFirstSearch.Agent","241472","1.948051948051948","0","100","849"
"GameData_0_3","5","controllers.singlePlayer.breadthFirstSearch.Agent","241472","1.6233766233766231","12","0","2000"
"GameData_0_18","6","controllers.singlePlayer.breadthFirstSearch.Agent","241472","1.948051948051948","0","100","878"
"GameData_0_8","5","controllers.singlePlayer.breadthFirstSearch.Agent","241472","1.6233766233766231","4","0","2000"
"GameData_0_9","5","controllers.singlePlayer.breadthFirstSearch.Agent","241472","1.6233766233766231","0","100","730"
"GameData_0_6","5","controllers.singlePlayer.breadthFirstSearch.Agent","241472","1.6233766233766231","7","100","828"
"GameData_0_7","5","controllers.singlePlayer.breadthFirstSearch.Agent","241472","1.6233766233766231","6","100","1567"
"GameData_0_11","6","controllers.singlePlayer.breadthFirstSearch.Agent","241472","1.948051948051948","0","100","666"
"GameData_0_12","6","controllers.singlePlayer.breadthFirstSearch.Agent","241472","1.948051948051948","0","100","1035"
"GameData_0_10","6","controllers.singlePlayer.breadthFirstSearch.Agent","241472","1.948051948051948","0","100","822"
"GameData_0_15","6","controllers.singlePlayer.breadthFirstSearch.Agent","241472","1.948051948051948","0","100","374"
"GameData_0_16","6","controllers.singlePlayer.breadthFirstSearch.Agent","241472","1.948051948051948","0","100","1481"
"GameData_0_13","6","controllers.singlePlayer.breadthFirstSearch.Agent","241472","1.948051948051948","0","100","1036"
"GameData_0_14","6","controllers.singlePlayer.breadthFirstSearch.Agent","241472","1.948051948051948","0","100","835"
"GameData_0_40","12","controllers.singlePlayer.breadthFirstSearch.Agent","241472","3.896103896103896","4","100","515"
"GameData_0_41","14","controllers.singlePlayer.breadthFirstSearch.Agent","241472","4.545454545454546","10","100","513"
"GameData_0_0","2","controllers.singlePlayer.breadthFirstSearch.Agent","241472","0.6493506493506493","8","100","1523"
"GameData_0_1","2","controllers.singlePlayer.breadthFirstSearch.Agent","241472","0.6493506493506493","2","100","1799"
"GameData_0_44","14","controllers.singlePlayer.breadthFirstSearch.Agent","241472","4.545454545454546","0","100","210"
"GameData_0_45","14","controllers.singlePlayer.breadthFirstSearch.Agent","241472","4.545454545454546","2","100","327"
"GameData_0_42","14","controllers.singlePlayer.breadthFirstSearch.Agent","241472","4.545454545454546","6","100","709"
"GameData_0_43","14","controllers.singlePlayer.breadthFirstSearch.Agent","241472","4.545454545454546","6","100","488"
"GameData_0_48","17","controllers.singlePlayer.breadthFirstSearch.Agent","241472","5.51948051948052","2","100","178"
