"|","|__TotalCellsVisisted","|__ControllerName","|__levelSize","|__GameSpaceSearched","|__GameScore","|__Win","|__EndGameTick"
"GameData_0_28","36","controllers.singlePlayer.sampleRandom.Agent","160000","56.25","0","0","2000"
"GameData_0_29","36","controllers.singlePlayer.sampleRandom.Agent","160000","56.25","0","0","2000"
"GameData_0_22","35","controllers.singlePlayer.sampleRandom.Agent","160000","54.6875","0","0","2000"
"GameData_0_23","36","controllers.singlePlayer.sampleRandom.Agent","160000","56.25","0","0","2000"
"GameData_0_20","33","controllers.singlePlayer.sampleRandom.Agent","160000","51.5625","0","0","2000"
"GameData_0_21","35","controllers.singlePlayer.sampleRandom.Agent","160000","54.6875","0","0","2000"
"GameData_0_26","36","controllers.singlePlayer.sampleRandom.Agent","160000","56.25","0","0","2000"
"GameData_0_27","36","controllers.singlePlayer.sampleRandom.Agent","160000","56.25","0","0","2000"
"GameData_0_24","36","controllers.singlePlayer.sampleRandom.Agent","160000","56.25","0","0","2000"
"GameData_0_25","36","controllers.singlePlayer.sampleRandom.Agent","160000","56.25","0","0","2000"
"GameData_0_4","15","controllers.singlePlayer.sampleRandom.Agent","87500","42.857142857142854","1","100","81"
"GameData_0_19","25","controllers.singlePlayer.sampleRandom.Agent","122500","51.02040816326531","0","0","2000"
"GameData_0_5","15","controllers.singlePlayer.sampleRandom.Agent","87500","42.857142857142854","0","0","2000"
"GameData_0_2","15","controllers.singlePlayer.sampleRandom.Agent","87500","42.857142857142854","0","0","2000"
"GameData_0_17","25","controllers.singlePlayer.sampleRandom.Agent","122500","51.02040816326531","0","0","2000"
"GameData_0_3","15","controllers.singlePlayer.sampleRandom.Agent","87500","42.857142857142854","1","100","142"
"GameData_0_18","25","controllers.singlePlayer.sampleRandom.Agent","122500","51.02040816326531","0","0","2000"
"GameData_0_8","15","controllers.singlePlayer.sampleRandom.Agent","87500","42.857142857142854","0","0","2000"
"GameData_0_9","15","controllers.singlePlayer.sampleRandom.Agent","87500","42.857142857142854","1","100","91"
"GameData_0_6","15","controllers.singlePlayer.sampleRandom.Agent","87500","42.857142857142854","1","100","34"
"GameData_0_7","15","controllers.singlePlayer.sampleRandom.Agent","87500","42.857142857142854","1","100","10"
"GameData_0_11","25","controllers.singlePlayer.sampleRandom.Agent","122500","51.02040816326531","0","0","2000"
"GameData_0_12","25","controllers.singlePlayer.sampleRandom.Agent","122500","51.02040816326531","0","0","2000"
"GameData_0_10","25","controllers.singlePlayer.sampleRandom.Agent","122500","51.02040816326531","0","0","2000"
"GameData_0_15","25","controllers.singlePlayer.sampleRandom.Agent","122500","51.02040816326531","0","0","2000"
"GameData_0_16","25","controllers.singlePlayer.sampleRandom.Agent","122500","51.02040816326531","0","0","2000"
"GameData_0_13","25","controllers.singlePlayer.sampleRandom.Agent","122500","51.02040816326531","0","0","2000"
"GameData_0_14","25","controllers.singlePlayer.sampleRandom.Agent","122500","51.02040816326531","0","0","2000"
"GameData_0_40","96","controllers.singlePlayer.sampleRandom.Agent","105000","228.57142857142856","0","0","2000"
"GameData_0_41","96","controllers.singlePlayer.sampleRandom.Agent","105000","228.57142857142856","0","0","2000"
"GameData_0_0","13","controllers.singlePlayer.sampleRandom.Agent","87500","37.142857142857146","1","100","118"
"GameData_0_1","13","controllers.singlePlayer.sampleRandom.Agent","87500","37.142857142857146","1","100","34"
"GameData_0_44","96","controllers.singlePlayer.sampleRandom.Agent","105000","228.57142857142856","0","0","2000"
"GameData_0_45","96","controllers.singlePlayer.sampleRandom.Agent","105000","228.57142857142856","0","0","2000"
"GameData_0_42","96","controllers.singlePlayer.sampleRandom.Agent","105000","228.57142857142856","0","0","2000"
"GameData_0_43","96","controllers.singlePlayer.sampleRandom.Agent","105000","228.57142857142856","0","0","2000"
"GameData_0_48","96","controllers.singlePlayer.sampleRandom.Agent","105000","228.57142857142856","1","100","1516"
"GameData_0_49","96","controllers.singlePlayer.sampleRandom.Agent","105000","228.57142857142856","0","0","2000"
"GameData_0_46","96","controllers.singlePlayer.sampleRandom.Agent","105000","228.57142857142856","0","0","2000"
"GameData_0_47","96","controllers.singlePlayer.sampleRandom.Agent","105000","228.57142857142856","1","100","366"
"GameData_0_30","58","controllers.singlePlayer.sampleRandom.Agent","357500","40.55944055944056","0","0","2000"
"GameData_0_39","96","controllers.singlePlayer.sampleRandom.Agent","357500","67.13286713286713","0","0","2000"
"GameData_0_33","96","controllers.singlePlayer.sampleRandom.Agent","357500","67.13286713286713","0","0","2000"
"GameData_0_34","96","controllers.singlePlayer.sampleRandom.Agent","357500","67.13286713286713","0","0","2000"
"GameData_0_31","73","controllers.singlePlayer.sampleRandom.Agent","357500","51.048951048951054","0","0","2000"
"GameData_0_32","96","controllers.singlePlayer.sampleRandom.Agent","357500","67.13286713286713","0","0","2000"
"GameData_0_37","96","controllers.singlePlayer.sampleRandom.Agent","357500","67.13286713286713","0","0","2000"
"GameData_0_38","96","controllers.singlePlayer.sampleRandom.Agent","357500","67.13286713286713","0","0","2000"
"GameData_0_35","96","controllers.singlePlayer.sampleRandom.Agent","357500","67.13286713286713","0","0","2000"
"GameData_0_36","96","controllers.singlePlayer.sampleRandom.Agent","357500","67.13286713286713","0","0","2000"
