"|","|__TotalCellsVisisted","|__ControllerName","|__levelSize","|__GameSpaceSearched","|__GameScore","|__Win","|__EndGameTick"
"GameData_0_2","116","controllers.singlePlayer.sampleMCTS.Agent","295191","33.04843304843305","0","100","1000"
"GameData_0_3","119","controllers.singlePlayer.sampleMCTS.Agent","295191","33.903133903133906","-5","100","1000"
"GameData_0_0","41","controllers.singlePlayer.sampleMCTS.Agent","295191","11.68091168091168","-10","100","1000"
"GameData_0_1","80","controllers.singlePlayer.sampleMCTS.Agent","295191","22.79202279202279","-5","100","1000"
