"|","|__TotalCellsVisisted","|__ControllerName","|__levelSize","|__GameSpaceSearched","|__GameScore","|__EndGameTick"
"GameData_13_10","202","controllers.singlePlayer.sampleOLMCTS.Agent","290625","0","0","2000"
"GameData_13_15","230","controllers.singlePlayer.sampleOLMCTS.Agent","290625","0","0","2000"
"GameData_13_16","230","controllers.singlePlayer.sampleOLMCTS.Agent","290625","0","0","2000"
"GameData_13_13","204","controllers.singlePlayer.sampleOLMCTS.Agent","290625","0","-1","1293"
"GameData_13_14","230","controllers.singlePlayer.sampleOLMCTS.Agent","290625","0","5","849"
"GameData_4_0","30","controllers.singlePlayer.sampleOLMCTS.Agent","360000","0","0","810"
"GameData_4_1","59","controllers.singlePlayer.sampleOLMCTS.Agent","360000","0","100","707"
"GameData_4_4","67","controllers.singlePlayer.sampleOLMCTS.Agent","360000","0","100","310"
"GameData_4_5","67","controllers.singlePlayer.sampleOLMCTS.Agent","360000","0","0","1710"
"GameData_4_2","59","controllers.singlePlayer.sampleOLMCTS.Agent","360000","0","0","1110"
"GameData_4_3","59","controllers.singlePlayer.sampleOLMCTS.Agent","360000","0","0","1410"
"GameData_4_8","68","controllers.singlePlayer.sampleOLMCTS.Agent","360000","0","100","355"
"GameData_4_9","68","controllers.singlePlayer.sampleOLMCTS.Agent","360000","0","100","1009"
"GameData_4_6","67","controllers.singlePlayer.sampleOLMCTS.Agent","360000","0","0","2000"
"GameData_4_7","67","controllers.singlePlayer.sampleOLMCTS.Agent","360000","0","100","645"
"GameData_6_12","107","controllers.singlePlayer.sampleOLMCTS.Agent","313632","0","9","154"
"GameData_13_19","78","controllers.singlePlayer.sampleOLMCTS.Agent","290625","0","0","2000"
"GameData_6_11","103","controllers.singlePlayer.sampleOLMCTS.Agent","313632","0","3","99"
"GameData_6_14","143","controllers.singlePlayer.sampleOLMCTS.Agent","313632","0","7","154"
"GameData_13_17","241","controllers.singlePlayer.sampleOLMCTS.Agent","290625","0","5","236"
"GameData_6_13","126","controllers.singlePlayer.sampleOLMCTS.Agent","313632","0","5","143"
"GameData_13_18","241","controllers.singlePlayer.sampleOLMCTS.Agent","290625","0","0","2000"
"GameData_6_10","97","controllers.singlePlayer.sampleOLMCTS.Agent","313632","0","8","176"
"GameData_3_1","173","controllers.singlePlayer.sampleOLMCTS.Agent","232500","0","-6","1280"
"GameData_3_2","181","controllers.singlePlayer.sampleOLMCTS.Agent","232500","0","2","2000"
"GameData_3_0","133","controllers.singlePlayer.sampleOLMCTS.Agent","232500","0","-11","998"
"GameData_3_5","185","controllers.singlePlayer.sampleOLMCTS.Agent","232500","0","-9","1134"
"GameData_3_6","185","controllers.singlePlayer.sampleOLMCTS.Agent","232500","0","1","1409"
"GameData_3_3","185","controllers.singlePlayer.sampleOLMCTS.Agent","232500","0","-14","937"
"GameData_3_4","185","controllers.singlePlayer.sampleOLMCTS.Agent","232500","0","-1","1572"
"GameData_3_9","185","controllers.singlePlayer.sampleOLMCTS.Agent","232500","0","-8","1110"
"GameData_6_19","333","controllers.singlePlayer.sampleOLMCTS.Agent","313632","0","3","99"
"GameData_3_7","185","controllers.singlePlayer.sampleOLMCTS.Agent","232500","0","-13","1344"
"GameData_3_8","185","controllers.singlePlayer.sampleOLMCTS.Agent","232500","0","-7","1308"
"GameData_6_16","147","controllers.singlePlayer.sampleOLMCTS.Agent","313632","0","16","146"
"GameData_6_15","146","controllers.singlePlayer.sampleOLMCTS.Agent","313632","0","7","154"
"GameData_6_18","157","controllers.singlePlayer.sampleOLMCTS.Agent","313632","0","16","154"
"GameData_6_17","157","controllers.singlePlayer.sampleOLMCTS.Agent","313632","0","8","176"
"GameData_18_7","472","controllers.singlePlayer.sampleOLMCTS.Agent","456192","0","1","1496"
"GameData_18_8","473","controllers.singlePlayer.sampleOLMCTS.Agent","456192","0","1","650"
"GameData_18_5","460","controllers.singlePlayer.sampleOLMCTS.Agent","456192","0","0","1500"
"GameData_18_6","467","controllers.singlePlayer.sampleOLMCTS.Agent","456192","0","0","1500"
"GameData_18_9","473","controllers.singlePlayer.sampleOLMCTS.Agent","456192","0","1","309"
"GameData_17_10","141","controllers.singlePlayer.sampleOLMCTS.Agent","288750","0","0","408"
"GameData_17_11","145","controllers.singlePlayer.sampleOLMCTS.Agent","288750","0","5","913"
"GameData_17_12","145","controllers.singlePlayer.sampleOLMCTS.Agent","288750","0","0","474"
"GameData_17_17","149","controllers.singlePlayer.sampleOLMCTS.Agent","288750","0","3","520"
"GameData_17_18","149","controllers.singlePlayer.sampleOLMCTS.Agent","288750","0","2","207"
"GameData_17_19","32","controllers.singlePlayer.sampleOLMCTS.Agent","288750","0","0","55"
"GameData_17_13","145","controllers.singlePlayer.sampleOLMCTS.Agent","288750","0","0","420"
"GameData_17_14","145","controllers.singlePlayer.sampleOLMCTS.Agent","288750","0","2","456"
"GameData_17_15","145","controllers.singlePlayer.sampleOLMCTS.Agent","288750","0","13","2000"
"GameData_17_16","145","controllers.singlePlayer.sampleOLMCTS.Agent","288750","0","0","378"
"GameData_18_0","276","controllers.singlePlayer.sampleOLMCTS.Agent","456192","0","0","1500"
"GameData_6_3","50","controllers.singlePlayer.sampleOLMCTS.Agent","313632","0","-1","99"
"GameData_18_3","439","controllers.singlePlayer.sampleOLMCTS.Agent","456192","0","0","1500"
"GameData_6_2","48","controllers.singlePlayer.sampleOLMCTS.Agent","313632","0","16","154"
"GameData_18_4","446","controllers.singlePlayer.sampleOLMCTS.Agent","456192","0","1","502"
"GameData_6_1","38","controllers.singlePlayer.sampleOLMCTS.Agent","313632","0","5","99"
"GameData_18_1","335","controllers.singlePlayer.sampleOLMCTS.Agent","456192","0","0","1500"
"GameData_6_0","25","controllers.singlePlayer.sampleOLMCTS.Agent","313632","0","7","132"
"GameData_18_2","421","controllers.singlePlayer.sampleOLMCTS.Agent","456192","0","0","1500"
"GameData_6_7","67","controllers.singlePlayer.sampleOLMCTS.Agent","313632","0","-1","99"
"GameData_6_6","64","controllers.singlePlayer.sampleOLMCTS.Agent","313632","0","1","99"
"GameData_6_5","57","controllers.singlePlayer.sampleOLMCTS.Agent","313632","0","-1","99"
"GameData_6_4","50","controllers.singlePlayer.sampleOLMCTS.Agent","313632","0","16","114"
"GameData_6_9","95","controllers.singlePlayer.sampleOLMCTS.Agent","313632","0","9","143"
"GameData_6_8","86","controllers.singlePlayer.sampleOLMCTS.Agent","313632","0","5","132"
