"|","|__TotalCellsVisisted","|__ControllerName","|__levelSize","|__GameSpaceSearched","|__GameScore","|__EndGameTick"
"GameData_0_8","23","controllers.singlePlayer.sampleOLMCTS.Agent","292500","19.65811965811966","0","2000"
"GameData_8_1","101","controllers.singlePlayer.sampleOLMCTS.Agent","330000","19.12878787878788","35","643"
"GameData_12_9","227","controllers.singlePlayer.sampleOLMCTS.Agent","435357","194.01709401709402","0","1000"
"GameData_8_0","59","controllers.singlePlayer.sampleOLMCTS.Agent","330000","11.174242424242424","32","915"
"GameData_0_9","84","controllers.singlePlayer.sampleOLMCTS.Agent","292500","71.7948717948718","0","2000"
"GameData_0_6","21","controllers.singlePlayer.sampleOLMCTS.Agent","292500","17.94871794871795","0","2000"
"GameData_12_7","16","controllers.singlePlayer.sampleOLMCTS.Agent","435357","13.675213675213676","0","1000"
"GameData_0_7","22","controllers.singlePlayer.sampleOLMCTS.Agent","292500","18.803418803418804","0","2000"
"GameData_12_8","16","controllers.singlePlayer.sampleOLMCTS.Agent","435357","13.675213675213676","0","1000"
"GameData_8_5","145","controllers.singlePlayer.sampleOLMCTS.Agent","330000","27.46212121212121","27","841"
"GameData_8_4","139","controllers.singlePlayer.sampleOLMCTS.Agent","330000","26.325757575757574","17","681"
"GameData_8_3","125","controllers.singlePlayer.sampleOLMCTS.Agent","330000","23.674242424242426","30","795"
"GameData_8_2","122","controllers.singlePlayer.sampleOLMCTS.Agent","330000","23.106060606060606","30","765"
"GameData_8_9","145","controllers.singlePlayer.sampleOLMCTS.Agent","330000","27.46212121212121","15","614"
"GameData_12_1","15","controllers.singlePlayer.sampleOLMCTS.Agent","435357","12.82051282051282","0","1000"
"GameData_8_8","163","controllers.singlePlayer.sampleOLMCTS.Agent","330000","30.87121212121212","40","534"
"GameData_12_2","15","controllers.singlePlayer.sampleOLMCTS.Agent","435357","12.82051282051282","0","1000"
"GameData_8_7","146","controllers.singlePlayer.sampleOLMCTS.Agent","330000","27.65151515151515","9","492"
"GameData_8_6","145","controllers.singlePlayer.sampleOLMCTS.Agent","330000","27.46212121212121","27","622"
"GameData_12_0","14","controllers.singlePlayer.sampleOLMCTS.Agent","435357","11.965811965811966","0","1000"
"GameData_19_6","111","controllers.singlePlayer.sampleOLMCTS.Agent","368676","53.110047846889955","8","1000"
"GameData_19_7","112","controllers.singlePlayer.sampleOLMCTS.Agent","368676","53.588516746411486","-1","611"
"GameData_19_4","110","controllers.singlePlayer.sampleOLMCTS.Agent","368676","52.63157894736842","7","1000"
"GameData_19_5","111","controllers.singlePlayer.sampleOLMCTS.Agent","368676","53.110047846889955","-1","811"
"GameData_19_8","114","controllers.singlePlayer.sampleOLMCTS.Agent","368676","54.54545454545454","6","1000"
"GameData_19_9","550","controllers.singlePlayer.sampleOLMCTS.Agent","368676","263.15789473684214","6","1000"
"GameData_11_6","214","controllers.singlePlayer.sampleOLMCTS.Agent","241472","69.48051948051948","32","655"
"GameData_11_7","214","controllers.singlePlayer.sampleOLMCTS.Agent","241472","69.48051948051948","32","892"
"GameData_11_4","212","controllers.singlePlayer.sampleOLMCTS.Agent","241472","68.83116883116884","30","407"
"GameData_11_5","214","controllers.singlePlayer.sampleOLMCTS.Agent","241472","69.48051948051948","36","1062"
"GameData_7_2","50","controllers.singlePlayer.sampleOLMCTS.Agent","295191","14.245014245014245","-15","1000"
"GameData_19_2","94","controllers.singlePlayer.sampleOLMCTS.Agent","368676","44.97607655502392","-1","309"
"GameData_7_1","50","controllers.singlePlayer.sampleOLMCTS.Agent","295191","14.245014245014245","-5","1000"
"GameData_19_3","101","controllers.singlePlayer.sampleOLMCTS.Agent","368676","48.32535885167464","-1","583"
"GameData_7_0","37","controllers.singlePlayer.sampleOLMCTS.Agent","295191","10.541310541310542","-5","1000"
"GameData_11_8","214","controllers.singlePlayer.sampleOLMCTS.Agent","241472","69.48051948051948","32","279"
"GameData_19_0","57","controllers.singlePlayer.sampleOLMCTS.Agent","368676","27.27272727272727","-1","869"
"GameData_11_9","213","controllers.singlePlayer.sampleOLMCTS.Agent","241472","69.15584415584416","32","1736"
"GameData_19_1","83","controllers.singlePlayer.sampleOLMCTS.Agent","368676","39.71291866028708","6","1000"
"GameData_7_6","93","controllers.singlePlayer.sampleOLMCTS.Agent","295191","26.495726495726498","-20","1000"
"GameData_7_5","82","controllers.singlePlayer.sampleOLMCTS.Agent","295191","23.36182336182336","-10","1000"
"GameData_7_4","79","controllers.singlePlayer.sampleOLMCTS.Agent","295191","22.507122507122507","-10","1000"
"GameData_7_3","55","controllers.singlePlayer.sampleOLMCTS.Agent","295191","15.669515669515668","0","1000"
"GameData_11_2","211","controllers.singlePlayer.sampleOLMCTS.Agent","241472","68.5064935064935","34","685"
"GameData_7_9","155","controllers.singlePlayer.sampleOLMCTS.Agent","295191","44.15954415954416","-20","1000"
"GameData_11_3","212","controllers.singlePlayer.sampleOLMCTS.Agent","241472","68.83116883116884","32","2000"
"GameData_7_8","111","controllers.singlePlayer.sampleOLMCTS.Agent","295191","31.62393162393162","-20","1000"
"GameData_11_0","143","controllers.singlePlayer.sampleOLMCTS.Agent","241472","46.42857142857143","32","800"
"GameData_7_7","94","controllers.singlePlayer.sampleOLMCTS.Agent","295191","26.780626780626783","-15","1000"
"GameData_11_1","192","controllers.singlePlayer.sampleOLMCTS.Agent","241472","62.33766233766234","28","494"
